Gid,SE_T057_001
1400000US36047990100,0
1400000US53011041005,34330
1400000US53011041007,55605
1400000US22071005400,36548
1400000US17031530200,27073
1400000US06037402200,65428
1400000US53011041008,72321
1400000US53011041009,42190
1400000US16027020300,33188
1400000US26163501200,27008
1400000US45019004606,76653
1400000US45019004607,61002
1400000US32005002200,79688
1400000US72135510200,28955
1400000US37009970700,54097
1400000US48113001001,108393
1400000US28035000800,56324
1400000US45019004608,100918
1400000US39145002800,43846
1400000US18167010500,29405
1400000US12086013800,35379
1400000US08031000800,11410
1400000US53011041003,61033
1400000US26091061600,26856
1400000US06071000904,47545
1400000US06071000903,37220
1400000US31033955000,62593
1400000US06071000901,51715
1400000US15003011400,50195
1400000US42095010800,31122
1400000US24009860401,98208
1400000US24009860402,83534
1400000US31119961000,35971
1400000US24031702500,62536
1400000US13261950100,44167
1400000US42069110201,63722
1400000US36047021400,56429
1400000US36081103201,38750
1400000US06085503118,66056
1400000US36081103202,56898
1400000US06085503116,67197
1400000US06085503117,48636
1400000US06085503115,100924
1400000US06085503112,54048
1400000US06085503113,55331
1400000US06085503110,44780
1400000US06085503111,84076
1400000US06023010400,53433
1400000US39027964900,44931
1400000US09003460301,99527
1400000US09003460302,82361
1400000US40013796600,38707
1400000US26099255500,49871
1400000US55097960500,66293
1400000US45027960500,23585
1400000US41003000900,79775
1400000US24043010600,54528
1400000US36043010400,30032
1400000US04013420710,40417
1400000US17043846509,82772
1400000US25025000701,49600
1400000US25025000703,32002
1400000US25025000704,50577
1400000US49035113307,42356
1400000US32007950200,57841
1400000US36103123402,62833
1400000US26147658100,68438
1400000US49035113308,46698
1400000US36103123401,81207
1400000US17043846504,77350
1400000US17043846507,87885
1400000US48453002317,24583
1400000US06085504421,120268
1400000US55073001800,70464
1400000US42101026600,43852
1400000US15009990000,0
1400000US34031143200,108871
1400000US48453002315,35000
1400000US55103970300,54427
1400000US27037060739,67656
1400000US36059414502,84550
1400000US36071011601,49668
1400000US27003050820,94500
1400000US27003050821,100647
1400000US05031000601,32679
1400000US05031000602,15756
1400000US06037540700,46378
1400000US06037119202,60508
1400000US18089042802,87669
1400000US18089042801,68772
1400000US06037119201,65694
1400000US12011090503,92986
1400000US26161410800,25972
1400000US37109071102,68300
1400000US12057002800,61563
1400000US37109071101,49409
1400000US06081604000,105227
1400000US36065025500,65546
1400000US18089040401,73750
1400000US18089040403,76429
1400000US18089040402,127857
1400000US48141000207,34766
1400000US26099245300,50417
1400000US48141000205,26202
1400000US48141000204,43576
1400000US22089062900,58257
1400000US36037951000,37977
1400000US26163585900,29914
1400000US18089010900,22938
1400000US48141000208,42393
1400000US48239950100,60446
1400000US28013950300,33205
1400000US37079950101,34635
1400000US19017004100,80094
1400000US19113002600,36548
1400000US06065048100,104231
1400000US29133950300,41149
1400000US26093730102,80274
1400000US18015959600,40256
1400000US26093730101,79904
1400000US49043964202,66875
1400000US49043964203,42212
1400000US21015070308,72288
1400000US21015070309,99719
1400000US06081611200,133203
1400000US21015070307,87500
1400000US21015070305,55020
1400000US08005007104,86094
1400000US17137951500,65000
1400000US21015070301,34647
1400000US45041000300,40929
1400000US48061011100,23220
1400000US04013082016,74286
1400000US04013082017,56705
1400000US04013082010,33488
1400000US24005440300,60031
1400000US04013082012,61225
1400000US01097007000,62912
1400000US04013082018,54549
1400000US04013082019,82644
1400000US40101000600,48188
1400000US08069001607,90542
1400000US06001405901,31607
1400000US06001405902,32833
1400000US12105011910,51375
1400000US08069001603,73581
1400000US06037240402,33297
1400000US06037240401,27917
1400000US13301970400,23423
1400000US37025041701,57092
1400000US37025041702,57647
1400000US33011002800,65611
1400000US34031124500,52557
1400000US42011000600,49976
1400000US08069001608,116953
1400000US28049002400,31210
1400000US22063040202,46176
1400000US22063040201,48586
1400000US27061480400,55820
1400000US12095014200,34734
1400000US47155081101,40806
1400000US47155081102,34798
1400000US17043844902,106957
1400000US18019050603,46257
1400000US18019050605,55100
1400000US18019050604,60964
1400000US18019050606,59485
1400000US04025000402,56725
1400000US21025920200,29330
1400000US04025000401,50051
1400000US19113000600,53304
1400000US18135951900,45368
1400000US17033880300,46181
1400000US36081133900,116875
1400000US18173030100,53640
1400000US25017352500,87829
1400000US04013815300,135405
1400000US48201252000,121552
1400000US12095016511,31563
1400000US12095016510,23650
1400000US26049002400,29266
1400000US34025808600,84693
1400000US35049980000,54000
1400000US08031000502,49583
1400000US47047060300,31923
1400000US51059432300,143750
1400000US08077001501,53490
1400000US37067002702,28024
1400000US06037206300,10419
1400000US08077001502,63579
1400000US40037020602,42589
1400000US37183053108,67883
1400000US05093010200,39366
1400000US36029008500,51331
1400000US48201221300,36858
1400000US22057021000,43531
1400000US06053014105,65133
1400000US06053014104,0
1400000US18097351700,33542
1400000US06053014102,51042
1400000US37183053106,64018
1400000US37183053107,62150
1400000US25005653204,68676
1400000US34007611000,49485
1400000US12103025018,32725
1400000US04013217800,50742
1400000US40031001600,18068
1400000US40145030405,74596
1400000US40145030402,61773
1400000US40145030403,47778
1400000US36047054800,60761
1400000US37071032301,53563
1400000US05087960200,34647
1400000US37071032302,40714
1400000US18003002900,22500
1400000US26025003200,43971
1400000US19083480200,47212
1400000US29189221301,57521
1400000US13089021416,80272
1400000US06013990000,0
1400000US06007002000,54228
1400000US13089021415,92935
1400000US13089021412,114107
1400000US10005051305,49215
1400000US10005051306,56090
1400000US13089021411,76818
1400000US06001441800,105106
1400000US27009021101,50063
1400000US72145990000,0
1400000US27141030200,88550
1400000US06065041410,31587
1400000US06065041411,42188
1400000US06065041412,48944
1400000US05081030200,34113
1400000US36061026500,66217
1400000US17075950800,52167
1400000US06065042214,86250
1400000US02090001700,66983
1400000US06065042213,56902
1400000US06059063301,80170
1400000US37051003305,38793
1400000US06059063302,101207
1400000US36059412100,84196
1400000US24031700819,76455
1400000US24031700818,58438
1400000US22051024700,39183
1400000US24031700815,80179
1400000US12057002000,31926
1400000US24031700817,90000
1400000US24031700816,85145
1400000US24031700811,85552
1400000US24031700810,98362
1400000US24031700813,77127
1400000US24031700812,77500
1400000US49005000900,35886
1400000US28051950300,15344
1400000US27173970100,58125
1400000US45083022005,68141
1400000US45083022004,41086
1400000US42129802500,43289
1400000US45083022006,36680
1400000US31037964600,55759
1400000US23011018000,54736
1400000US36005021301,16420
1400000US17163503903,108125
