Gid,SE_T013_007
1400000US36047990100,0
1400000US53011041005,23.27
1400000US53011041007,6.4
1400000US22071005400,1.44
1400000US17031530200,0
1400000US06037402200,25.07
1400000US53011041008,4.53
1400000US53011041009,4.41
1400000US16027020300,10.61
1400000US26163501200,0
1400000US45019004606,0.28
1400000US45019004607,0
1400000US32005002200,0.53
1400000US72135510200,2.09
1400000US37009970700,1.39
1400000US48113001001,4.59
1400000US28035000800,0.12
1400000US45019004608,0
1400000US39145002800,0.21
1400000US18167010500,0
1400000US12086013800,1.42
1400000US08031000800,9.19
1400000US53011041003,0.23
1400000US26091061600,9.43
1400000US06071000904,29.06
1400000US06071000903,30.6
1400000US31033955000,0
1400000US06071000901,30.48
1400000US15003011400,2.38
1400000US42095010800,2.57
1400000US24009860401,0
1400000US24009860402,0.8
1400000US31119961000,4.15
1400000US24031702500,1.84
1400000US13261950100,0.45
1400000US42069110201,0
1400000US36047021400,0.5
1400000US36081103201,10.72
1400000US06085503118,24.83
1400000US36081103202,14.87
1400000US06085503116,2.96
1400000US06085503117,30.6
1400000US06085503115,4.22
1400000US06085503112,26.98
1400000US06085503113,49.95
1400000US06085503110,43.53
1400000US06085503111,18.22
1400000US06023010400,1.78
1400000US39027964900,0
1400000US09003460301,1.15
1400000US09003460302,0
1400000US40013796600,1.99
1400000US26099255500,0.98
1400000US55097960500,0.6
1400000US45027960500,0.39
1400000US41003000900,0.32
1400000US24043010600,0.13
1400000US36043010400,0
1400000US04013420710,0
1400000US17043846509,0
1400000US25025000701,0.71
1400000US25025000703,1.94
1400000US25025000704,4.69
1400000US49035113307,44.72
1400000US32007950200,2.57
1400000US36103123402,10.43
1400000US26147658100,0.65
1400000US49035113308,36.8
1400000US36103123401,1.5
1400000US17043846504,0.69
1400000US17043846507,2.36
1400000US48453002317,7.24
1400000US06085504421,4.6
1400000US55073001800,0.06
1400000US42101026600,0.61
1400000US15009990000,0
1400000US34031143200,1.27
1400000US48453002315,12.42
1400000US55103970300,0
1400000US27037060739,21.02
1400000US36059414502,10.33
