Gid,SE_T081_002
1400000US36047990100,0
1400000US53011041005,10.73
1400000US53011041007,12.26
1400000US22071005400,4.78
1400000US17031530200,9.4
1400000US06037402200,18.18
1400000US53011041008,24.02
1400000US53011041009,22.95
1400000US16027020300,10.04
1400000US26163501200,18.57
1400000US45019004606,16.58
1400000US45019004607,18.04
1400000US32005002200,35.11
1400000US72135510200,11.49
1400000US37009970700,31.52
1400000US48113001001,8.29
1400000US28035000800,24.57
1400000US45019004608,19.17
1400000US39145002800,28.34
1400000US18167010500,24.58
1400000US12086013800,6.43
1400000US08031000800,2.26
1400000US53011041003,23.08
1400000US26091061600,18.63
1400000US06071000904,5.69
1400000US06071000903,10.76
1400000US31033955000,9.98
1400000US06071000901,12.04
1400000US15003011400,0.96
1400000US42095010800,17.67
1400000US24009860401,17.7
1400000US24009860402,19.17
1400000US31119961000,11.49
1400000US24031702500,9.72
1400000US13261950100,20.22
1400000US42069110201,19.19
1400000US36047021400,3.26
1400000US36081103201,9.15
1400000US06085503118,6.71
1400000US36081103202,9.32
1400000US06085503116,11.12
1400000US06085503117,6.9
1400000US06085503115,12.57
1400000US06085503112,4.17
1400000US06085503113,10.59
1400000US06085503110,4.34
1400000US06085503111,11.98
1400000US06023010400,22.43
1400000US39027964900,23.82
1400000US09003460301,19.94
1400000US09003460302,20.72
1400000US40013796600,17.42
1400000US26099255500,23.48
1400000US55097960500,27.69
1400000US45027960500,20.21
1400000US41003000900,24.26
1400000US24043010600,19.37
1400000US36043010400,21.34
1400000US04013420710,24.54
1400000US17043846509,7.28
1400000US25025000701,2.37
1400000US25025000703,0.72
1400000US25025000704,3.32
1400000US49035113307,8.32
1400000US32007950200,15.42
1400000US36103123402,17.62
1400000US26147658100,22.84
1400000US49035113308,9.02
1400000US36103123401,17.21
1400000US17043846504,16.42
1400000US17043846507,7.48
1400000US48453002317,2.36
1400000US06085504421,15.53
1400000US55073001800,17.22
1400000US42101026600,36.39
1400000US15009990000,0
1400000US34031143200,21.34
1400000US48453002315,7.52
1400000US55103970300,24.29
1400000US27037060739,17.04
1400000US36059414502,22.44
1400000US36071011601,32.15
1400000US27003050820,17.37
1400000US27003050821,11.61
1400000US05031000601,17.74
1400000US05031000602,7.63
1400000US06037540700,11.01
1400000US06037119202,9.75
1400000US18089042802,26.74
1400000US18089042801,22.98
1400000US06037119201,15.19
1400000US12011090503,23.98
1400000US26161410800,12.73
1400000US37109071102,15.6
1400000US12057002800,14.69
1400000US37109071101,16.64
1400000US06081604000,26.67
1400000US36065025500,34.17
1400000US18089040401,27.62
1400000US18089040403,26.98
1400000US18089040402,21.7
1400000US48141000207,9.8
1400000US26099245300,27.41
1400000US48141000205,8.84
1400000US48141000204,24.78
1400000US22089062900,22.26
1400000US36037951000,10.77
1400000US26163585900,25.14
1400000US18089010900,22.47
1400000US48141000208,10.31
1400000US48239950100,19.52
1400000US28013950300,20.8
1400000US37079950101,17.4
1400000US19017004100,23.09
1400000US19113002600,11.79
1400000US06065048100,10.0
1400000US29133950300,15.25
1400000US26093730102,25.2
1400000US18015959600,20.49
1400000US26093730101,18.32
1400000US49043964202,10.43
1400000US49043964203,9.64
1400000US21015070308,22.36
1400000US21015070309,17.1
1400000US06081611200,17.15
1400000US21015070307,14.6
1400000US21015070305,16.79
1400000US08005007104,14.2
1400000US17137951500,20.94
1400000US21015070301,16.71
1400000US45041000300,23.31
1400000US48061011100,10.58
1400000US04013082016,7.12
1400000US04013082017,4.18
1400000US04013082010,7.85
1400000US24005440300,8.88
1400000US04013082012,9.52
1400000US01097007000,24.93
1400000US04013082018,5.88
1400000US04013082019,28.38
1400000US40101000600,14.62
1400000US08069001607,18.96
1400000US06001405901,11.83
1400000US06001405902,6.88
1400000US12105011910,23.09
1400000US08069001603,7.64
1400000US06037240402,11.84
1400000US06037240401,5.96
1400000US13301970400,18.09
1400000US37025041701,22.43
1400000US37025041702,30.58
1400000US33011002800,19.46
1400000US34031124500,14.34
1400000US42011000600,20.88
1400000US08069001608,20.33
1400000US28049002400,18.57
1400000US22063040202,19.85
1400000US22063040201,15.04
1400000US27061480400,33.93
1400000US12095014200,14.31
1400000US47155081101,14.57
1400000US47155081102,12.38
1400000US17043844902,19.55
1400000US18019050603,16.89
1400000US18019050605,26.59
1400000US18019050604,25.41
1400000US18019050606,31.16
1400000US04025000402,38.93
1400000US21025920200,19.85
1400000US04025000401,39.07
1400000US19113000600,20.81
1400000US18135951900,21.92
1400000US17033880300,29.03
1400000US36081133900,19.25
1400000US18173030100,25.87
1400000US25017352500,6.44
1400000US04013815300,16.36
1400000US48201252000,6.77
1400000US12095016511,5.45
1400000US12095016510,5.99
1400000US26049002400,21.2
1400000US34025808600,17.35
1400000US35049980000,0
1400000US08031000502,10.67
1400000US47047060300,24.15
1400000US51059432300,34.25
1400000US08077001501,18.94
1400000US37067002702,12.75
1400000US06037206300,3.69
1400000US08077001502,17.1
1400000US40037020602,14.54
1400000US37183053108,17.12
1400000US05093010200,12.15
1400000US36029008500,25.77
1400000US48201221300,5.15
1400000US22057021000,14.06
1400000US06053014105,4.21
1400000US06053014104,0
1400000US18097351700,22.17
1400000US06053014102,7.98
1400000US37183053106,23.29
1400000US37183053107,18.56
1400000US25005653204,22.7
1400000US34007611000,21.24
1400000US12103025018,20.72
1400000US04013217800,16.71
1400000US40031001600,12.0
1400000US40145030405,9.24
1400000US40145030402,23.54
1400000US40145030403,12.61
1400000US36047054800,15.11
1400000US37071032301,16.52
1400000US05087960200,14.49
1400000US37071032302,7.29
1400000US18003002900,12.83
1400000US26025003200,23.18
1400000US19083480200,16.36
1400000US29189221301,24.65
1400000US13089021416,6.02
1400000US06013990000,0
1400000US06007002000,25.76
1400000US13089021415,9.73
1400000US13089021412,7.35
1400000US10005051305,38.23
1400000US10005051306,44.16
1400000US13089021411,6.68
1400000US06001441800,13.92
1400000US27009021101,12.12
1400000US72145990000,0
1400000US27141030200,13.38
1400000US06065041410,3.27
1400000US06065041411,14.41
1400000US06065041412,13.64
1400000US05081030200,25.9
1400000US36061026500,9.08
1400000US17075950800,20.12
1400000US06065042214,17.06
1400000US02090001700,30.22
1400000US06065042213,22.29
1400000US06059063301,5.75
1400000US37051003305,28.79
1400000US06059063302,8.63
1400000US36059412100,22.17
1400000US24031700819,10.69
1400000US24031700818,3.15
1400000US22051024700,12.72
1400000US24031700815,15.29
1400000US12057002000,15.28
1400000US24031700817,5.5
1400000US24031700816,6.39
1400000US24031700811,9.4
1400000US24031700810,21.3
1400000US24031700813,11.82
1400000US24031700812,22.48
1400000US49005000900,12.83
1400000US28051950300,10.05
1400000US27173970100,16.99
1400000US45083022005,18.81
1400000US45083022004,18.33
1400000US42129802500,23.08
1400000US45083022006,16.46
1400000US31037964600,10.48
1400000US23011018000,21.27
1400000US36005021301,5.24
1400000US17163503903,31.33
1400000US06037228600,2.16
1400000US17163503906,29.05
1400000US28117950100,25.67
1400000US17163503904,25.63
1400000US17163503905,24.37
1400000US34007609204,27.74
1400000US34007609205,20.26
1400000US34007609202,21.06
1400000US34007609203,19.48
1400000US06001420200,12.66
1400000US34007609201,14.0
1400000US48029191503,21.46
1400000US48029191506,19.72
1400000US26049013401,25.06
1400000US26029000400,27.5
1400000US48029191505,28.8
1400000US09003494600,28.56
1400000US36069052100,27.18
1400000US13123080200,29.99
1400000US37067004015,17.95
1400000US37067004014,31.55
1400000US34013021400,23.3
1400000US37067004011,26.53
1400000US37067004010,15.69
1400000US37067004013,15.38
1400000US31131966800,13.1
1400000US06099003100,17.49
1400000US48273020400,17.12
1400000US09003496600,25.71
1400000US01097001400,20.96
1400000US09003473800,20.07
1400000US26065006302,23.4
1400000US06097153104,8.67
1400000US42003472400,16.6
1400000US06065040607,9.13
1400000US36005004600,12.18
1400000US51153901601,19.32
1400000US51153901602,11.34
1400000US17187870300,22.25
1400000US26163510700,9.66
1400000US04027001200,22.52
1400000US26135970300,25.26
1400000US04027000100,9.29
1400000US39001770200,22.01
1400000US06037191302,4.75
1400000US06037191301,4.28
1400000US42003522000,17.8
1400000US42051263000,27.19
1400000US48201511002,9.86
1400000US36047050000,28.34
1400000US12086011009,7.55
1400000US06037192300,10.62
1400000US36077590900,21.12
1400000US25023524101,19.54
1400000US48201250401,13.19
1400000US28019950100,22.53
1400000US36119005902,22.59
1400000US36059517000,28.84
1400000US22077951900,20.74
1400000US45089970900,23.59
1400000US12081000704,16.12
1400000US06095250502,21.6
1400000US06095250501,15.98
1400000US12086011005,12.35
1400000US12081000703,26.32
1400000US36047045000,17.02
1400000US39035108301,8.74
1400000US42069110202,31.47
1400000US22071000300,11.7
1400000US51103030300,35.13
1400000US47001020800,23.22
1400000US17031670100,30.59
1400000US17091012400,21.76
1400000US55025012001,14.57
1400000US36001013706,31.13
1400000US36001013707,31.92
1400000US39061021702,10.31
1400000US36001013705,33.5
1400000US36001013703,34.95
1400000US47167040200,22.27
1400000US53033031601,19.65
1400000US53053073114,23.8
1400000US53033031603,20.22
1400000US17031800200,20.47
1400000US53033031605,21.3
1400000US06037237202,16.16
1400000US06037237201,9.05
1400000US12057013100,20.0
1400000US53053073119,27.18
1400000US53053073118,21.32
1400000US08013060900,13.26
1400000US04013522903,4.77
1400000US08059012049,20.47
1400000US04013522901,14.65
1400000US42133020310,25.05
1400000US04013522904,7.35
1400000US50021964200,20.77
1400000US08059012041,16.34
1400000US08059012042,19.26
1400000US08059012043,16.32
1400000US08059012044,16.81
1400000US08059012045,12.15
1400000US08059012046,18.76
1400000US08059012047,18.23
1400000US13063040202,11.62
1400000US17031660800,7.71
1400000US17115001600,18.79
1400000US42077005301,26.8
1400000US12103028700,11.1
1400000US13063040204,8.8
1400000US42049000900,7.71
1400000US55101000903,25.82
1400000US55101000901,21.22
1400000US08105976800,17.26
1400000US55101000904,30.05
1400000US42045401200,17.57
1400000US35001003724,33.09
1400000US01101002900,14.76
1400000US35001003726,23.26
1400000US39093024000,19.5
1400000US08035013911,16.08
1400000US35001003722,22.01
1400000US35001003723,32.72
1400000US06083001101,13.11
1400000US08035013910,15.63
1400000US35001003728,18.23
1400000US06037543802,19.29
1400000US06037543801,17.02
1400000US27053026706,22.87
1400000US22087030800,12.1
1400000US32029970200,27.23
1400000US06041121100,15.38
1400000US13305970600,24.96
1400000US46011958803,13.46
1400000US46011958802,7.38
1400000US06037920016,11.71
1400000US06019005406,26.17
1400000US06019005407,24.16
1400000US51800075405,30.76
1400000US06019005405,28.52
1400000US51800075403,29.62
1400000US06019005403,6.65
1400000US51800075401,25.49
1400000US05143010501,17.56
1400000US06019005408,0
1400000US06019005409,14.39
1400000US29095015400,4.69
1400000US42003428100,21.7
1400000US17031840800,3.08
1400000US08101001000,22.51
1400000US42101012100,18.67
1400000US09001042800,11.95
1400000US41027950300,21.41
1400000US51730811000,27.3
1400000US20209041900,11.87
1400000US27137013100,15.71
1400000US53063011102,17.65
1400000US53063011101,16.28
1400000US17179021604,22.27
1400000US26027001900,24.56
1400000US21185030200,30.55
1400000US39031961400,20.79
1400000US55079004300,20.87
1400000US29071800100,23.77
1400000US13075960300,25.56
1400000US18081610202,14.85
1400000US15003981200,0
1400000US42115032400,24.62
1400000US36103158309,17.89
1400000US36103158308,27.28
1400000US26111290100,19.42
1400000US22051027812,14.05
1400000US22051027811,17.58
1400000US22051027810,22.33
1400000US37021002701,29.8
1400000US16085970100,41.29
1400000US37021002702,25.96
1400000US36103158306,28.98
1400000US24510010300,4.26
1400000US33011016201,13.69
1400000US33011016202,17.27
1400000US31179978700,11.54
1400000US55011960400,23.45
1400000US09003430201,24.76
1400000US09003430202,27.79
1400000US09003430203,25.66
1400000US17089854001,28.22
1400000US06013389200,5.28
