Gid,SE_T053_004
1400000US36047990100,0
1400000US53011041005,13.32
1400000US53011041007,9.42
1400000US22071005400,8.14
1400000US17031530200,5.44
1400000US06037402200,9.04
1400000US53011041008,17.61
1400000US53011041009,8.94
1400000US16027020300,9.32
1400000US26163501200,0.97
1400000US45019004606,17.01
1400000US45019004607,5.43
1400000US32005002200,14.83
1400000US72135510200,6.61
1400000US37009970700,17.38
1400000US48113001001,18.17
1400000US28035000800,10.97
1400000US45019004608,14.7
1400000US39145002800,9.7
1400000US18167010500,5.79
1400000US12086013800,15.59
1400000US08031000800,15.72
1400000US53011041003,16.57
1400000US26091061600,12.8
1400000US06071000904,1.71
1400000US06071000903,5.1
1400000US31033955000,6.09
1400000US06071000901,8.44
1400000US15003011400,2.77
1400000US42095010800,9.78
1400000US24009860401,4.59
1400000US24009860402,5.19
1400000US31119961000,6.38
1400000US24031702500,1.72
1400000US13261950100,4.2
1400000US42069110201,11.83
1400000US36047021400,13.98
1400000US36081103201,7.32
1400000US06085503118,5.65
1400000US36081103202,21.78
1400000US06085503116,11.42
1400000US06085503117,6.23
1400000US06085503115,5.84
1400000US06085503112,5.49
1400000US06085503113,7.83
1400000US06085503110,5.68
1400000US06085503111,5.01
1400000US06023010400,15.81
1400000US39027964900,6.36
1400000US09003460301,7.09
1400000US09003460302,10.02
1400000US40013796600,7.19
1400000US26099255500,5.26
1400000US55097960500,7.82
1400000US45027960500,2.35
1400000US41003000900,10.05
1400000US24043010600,5.65
1400000US36043010400,6.51
1400000US04013420710,8.31
1400000US17043846509,6.63
1400000US25025000701,7.65
1400000US25025000703,6.6
1400000US25025000704,5.2
1400000US49035113307,5.45
1400000US32007950200,2.18
1400000US36103123402,8.13
1400000US26147658100,7.53
1400000US49035113308,4.36
1400000US36103123401,6.92
1400000US17043846504,6.99
1400000US17043846507,6.73
1400000US48453002317,3.19
1400000US06085504421,9.75
1400000US55073001800,12.2
1400000US42101026600,5.26
1400000US15009990000,0
1400000US34031143200,11.61
1400000US48453002315,7.04
1400000US55103970300,9.01
1400000US27037060739,7.28
1400000US36059414502,15.32
1400000US36071011601,7.71
1400000US27003050820,6.65
1400000US27003050821,5.65
1400000US05031000601,10.76
1400000US05031000602,3.57
1400000US06037540700,10.91
1400000US06037119202,5.43
1400000US18089042802,7.59
1400000US18089042801,9.38
1400000US06037119201,5.73
1400000US12011090503,29.92
1400000US26161410800,5.03
1400000US37109071102,10.24
1400000US12057002800,18.74
1400000US37109071101,10.67
1400000US06081604000,10.71
1400000US36065025500,15.61
