Gid,SE_T025_006
1400000US36047990100,0
1400000US53011041005,1.42
1400000US53011041007,3.95
1400000US22071005400,12.63
1400000US17031530200,1.1
1400000US06037402200,6.6
1400000US53011041008,12.07
1400000US53011041009,4.47
1400000US16027020300,1.36
1400000US26163501200,1.01
1400000US45019004606,12.9
1400000US45019004607,10.98
1400000US32005002200,9.67
1400000US72135510200,6.41
1400000US37009970700,5.09
1400000US48113001001,15.53
1400000US28035000800,18.63
1400000US45019004608,15.84
1400000US39145002800,4.88
1400000US18167010500,2.46
1400000US12086013800,0.29
1400000US08031000800,0.19
1400000US53011041003,8.16
1400000US26091061600,1.35
1400000US06071000904,3.78
1400000US06071000903,4.77
1400000US31033955000,3.7
1400000US06071000901,4.65
1400000US15003011400,2.02
1400000US42095010800,13.6
1400000US24009860401,14.26
1400000US24009860402,8.24
1400000US31119961000,2.76
1400000US24031702500,28.04
1400000US13261950100,7.41
1400000US42069110201,7.53
1400000US36047021400,2.22
1400000US36081103201,1.42
1400000US06085503118,6.4
1400000US36081103202,11.46
1400000US06085503116,16.8
1400000US06085503117,1.41
1400000US06085503115,12.86
1400000US06085503112,5.7
1400000US06085503113,2.03
1400000US06085503110,1.2
1400000US06085503111,6.0
1400000US06023010400,5.27
1400000US39027964900,1.98
1400000US09003460301,17.57
1400000US09003460302,17.97
1400000US40013796600,3.6
1400000US26099255500,2.74
1400000US55097960500,11.47
1400000US45027960500,3.27
1400000US41003000900,26.54
1400000US24043010600,4.49
1400000US36043010400,3.96
1400000US04013420710,2.35
1400000US17043846509,13.07
1400000US25025000701,26.64
1400000US25025000703,28.67
1400000US25025000704,20.03
1400000US49035113307,0.82
1400000US32007950200,2.04
1400000US36103123402,6.43
1400000US26147658100,3.49
1400000US49035113308,0.83
1400000US36103123401,3.56
1400000US17043846504,18.21
1400000US17043846507,14.24
1400000US48453002317,8.15
1400000US06085504421,7.44
1400000US55073001800,5.15
1400000US42101026600,2.96
1400000US15009990000,0
1400000US34031143200,15.49
1400000US48453002315,8.39
1400000US55103970300,7.57
1400000US27037060739,5.75
1400000US36059414502,9.39
1400000US36071011601,1.55
1400000US27003050820,9.52
1400000US27003050821,16.78
1400000US05031000601,6.65
1400000US05031000602,7.39
1400000US06037540700,1.41
1400000US06037119202,1.64
1400000US18089042802,7.47
1400000US18089042801,8.28
1400000US06037119201,3.66
1400000US12011090503,16.07
1400000US26161410800,10.23
1400000US37109071102,8.08
1400000US12057002800,8.11
1400000US37109071101,5.61
1400000US06081604000,8.38
1400000US36065025500,10.9
1400000US18089040401,11.92
1400000US18089040403,9.03
1400000US18089040402,14.86
1400000US48141000207,1.74
1400000US26099245300,9.0
1400000US48141000205,1.12
1400000US48141000204,5.79
1400000US22089062900,1.73
1400000US36037951000,6.03
1400000US26163585900,2.69
1400000US18089010900,2.96
1400000US48141000208,2.69
1400000US48239950100,2.24
1400000US28013950300,3.48
1400000US37079950101,1.76
1400000US19017004100,8.07
1400000US19113002600,4.93
1400000US06065048100,10.0
1400000US29133950300,1.54
1400000US26093730102,8.73
1400000US18015959600,4.32
1400000US26093730101,6.06
1400000US49043964202,7.47
1400000US49043964203,0
1400000US21015070308,9.25
1400000US21015070309,18.27
1400000US06081611200,12.57
1400000US21015070307,9.14
1400000US21015070305,6.72
1400000US08005007104,6.18
1400000US17137951500,5.92
1400000US21015070301,2.85
1400000US45041000300,5.7
1400000US48061011100,1.05
1400000US04013082016,9.04
1400000US04013082017,3.08
1400000US04013082010,0.78
1400000US24005440300,11.0
1400000US04013082012,4.72
1400000US01097007000,7.01
1400000US04013082018,2.53
1400000US04013082019,10.73
1400000US40101000600,1.17
1400000US08069001607,16.16
1400000US06001405901,1.17
1400000US06001405902,2.97
1400000US12105011910,1.99
1400000US08069001603,12.49
1400000US06037240402,1.37
1400000US06037240401,0
1400000US13301970400,3.34
1400000US37025041701,5.08
1400000US37025041702,4.74
1400000US33011002800,6.49
1400000US34031124500,3.01
1400000US42011000600,10.54
1400000US08069001608,13.99
1400000US28049002400,8.58
1400000US22063040202,7.79
1400000US22063040201,0.51
1400000US27061480400,6.62
1400000US12095014200,3.65
1400000US47155081101,7.46
1400000US47155081102,2.35
1400000US17043844902,21.17
1400000US18019050603,5.59
1400000US18019050605,6.88
1400000US18019050604,3.01
1400000US18019050606,5.35
1400000US04025000402,12.35
1400000US21025920200,6.55
1400000US04025000401,8.37
1400000US19113000600,4.28
1400000US18135951900,6.97
1400000US17033880300,6.45
1400000US36081133900,19.51
1400000US18173030100,2.25
1400000US25017352500,21.44
1400000US04013815300,14.62
1400000US48201252000,12.57
1400000US12095016511,10.03
1400000US12095016510,16.82
1400000US26049002400,0.58
1400000US34025808600,9.43
1400000US35049980000,0
1400000US08031000502,12.65
1400000US47047060300,3.39
1400000US51059432300,24.34
1400000US08077001501,7.65
1400000US37067002702,5.95
1400000US06037206300,0.88
1400000US08077001502,9.87
1400000US40037020602,2.98
1400000US37183053108,7.32
1400000US05093010200,5.83
1400000US36029008500,11.36
1400000US48201221300,0.19
1400000US22057021000,0.8
1400000US06053014105,22.47
1400000US06053014104,19.51
1400000US18097351700,7.57
1400000US06053014102,8.85
1400000US37183053106,7.64
1400000US37183053107,8.08
1400000US25005653204,7.29
1400000US34007611000,3.62
1400000US12103025018,2.4
1400000US04013217800,7.36
1400000US40031001600,1.59
1400000US40145030405,4.2
1400000US40145030402,4.47
1400000US40145030403,1.46
1400000US36047054800,20.59
1400000US37071032301,5.93
1400000US05087960200,2.93
1400000US37071032302,9.17
1400000US18003002900,2.13
1400000US26025003200,2.75
1400000US19083480200,3.97
1400000US29189221301,10.62
1400000US13089021416,10.23
1400000US06013990000,0
1400000US06007002000,6.08
1400000US13089021415,20.67
1400000US13089021412,13.84
1400000US10005051305,6.65
1400000US10005051306,10.67
1400000US13089021411,21.92
1400000US06001441800,16.16
1400000US27009021101,2.66
1400000US72145990000,0
1400000US27141030200,5.03
1400000US06065041410,0.44
1400000US06065041411,0.67
1400000US06065041412,3.82
1400000US05081030200,4.1
1400000US36061026500,12.78
1400000US17075950800,5.37
1400000US06065042214,6.88
1400000US02090001700,9.54
1400000US06065042213,15.74
1400000US06059063301,9.18
1400000US37051003305,7.22
1400000US06059063302,12.56
1400000US36059412100,14.76
1400000US24031700819,12.81
1400000US24031700818,17.28
1400000US22051024700,5.54
1400000US24031700815,15.0
1400000US12057002000,1.76
1400000US24031700817,20.05
1400000US24031700816,20.66
1400000US24031700811,9.31
1400000US24031700810,18.23
1400000US24031700813,11.38
1400000US24031700812,17.62
1400000US49005000900,6.49
1400000US28051950300,3.06
1400000US27173970100,2.77
1400000US45083022005,11.84
1400000US45083022004,1.81
1400000US42129802500,3.62
1400000US45083022006,7.86
1400000US31037964600,4.63
1400000US23011018000,5.64
1400000US36005021301,2.65
1400000US17163503903,18.9
1400000US06037228600,0.87
1400000US17163503906,10.17
1400000US28117950100,2.86
1400000US17163503904,12.24
1400000US17163503905,9.07
1400000US34007609204,3.53
1400000US34007609205,8.88
1400000US34007609202,7.62
1400000US34007609203,8.64
1400000US06001420200,21.34
1400000US34007609201,5.39
1400000US48029191503,15.15
1400000US48029191506,15.91
1400000US26049013401,12.84
1400000US26029000400,10.16
1400000US48029191505,20.76
1400000US09003494600,12.2
1400000US36069052100,11.77
1400000US13123080200,9.07
1400000US37067004015,10.84
1400000US37067004014,8.85
1400000US34013021400,12.69
1400000US37067004011,13.42
1400000US37067004010,17.38
1400000US37067004013,6.77
1400000US31131966800,4.71
1400000US06099003100,2.61
1400000US48273020400,2.95
1400000US09003496600,23.74
1400000US01097001400,1.72
1400000US09003473800,4.59
1400000US26065006302,11.66
1400000US06097153104,3.97
1400000US42003472400,7.3
1400000US06065040607,6.78
1400000US36005004600,4.47
1400000US51153901601,8.23
1400000US51153901602,12.89
1400000US17187870300,2.32
1400000US26163510700,1.77
1400000US04027001200,4.71
1400000US26135970300,1.79
1400000US04027000100,3.91
1400000US39001770200,5.31
1400000US06037191302,6.39
1400000US06037191301,4.61
