Gid,SE_T145_002
1400000US36047990100,0
1400000US53011041005,17.53
1400000US53011041007,14.69
1400000US22071005400,19.38
1400000US17031530200,12.37
1400000US06037402200,9.23
1400000US53011041008,6.77
1400000US53011041009,10.41
1400000US16027020300,13.53
1400000US26163501200,10.51
1400000US45019004606,8.37
1400000US45019004607,7.66
1400000US32005002200,5.06
1400000US72135510200,5.82
1400000US37009970700,11.7
1400000US48113001001,4.88
1400000US28035000800,9.24
1400000US45019004608,5.94
1400000US39145002800,5.16
1400000US18167010500,14.02
1400000US12086013800,37.93
1400000US08031000800,2.86
1400000US53011041003,6.56
1400000US26091061600,11.15
1400000US06071000904,12.04
1400000US06071000903,17.63
1400000US31033955000,6.33
1400000US06071000901,18.45
1400000US15003011400,2.13
1400000US42095010800,7.58
1400000US24009860401,4.45
1400000US24009860402,8.33
1400000US31119961000,16.3
1400000US24031702500,6.41
1400000US13261950100,17.5
1400000US42069110201,4.08
1400000US36047021400,11.08
1400000US36081103201,13.76
1400000US06085503118,11.11
1400000US36081103202,15.74
1400000US06085503116,8.36
1400000US06085503117,12.73
1400000US06085503115,4.14
1400000US06085503112,8.98
1400000US06085503113,14.67
1400000US06085503110,17.75
1400000US06085503111,12.87
1400000US06023010400,11.16
1400000US39027964900,10.84
1400000US09003460301,2.16
1400000US09003460302,1.49
1400000US40013796600,16.74
1400000US26099255500,12.33
1400000US55097960500,2.63
1400000US45027960500,10.57
1400000US41003000900,4.1
1400000US24043010600,6.84
1400000US36043010400,7.09
1400000US04013420710,16.42
1400000US17043846509,9.58
1400000US25025000701,4.43
1400000US25025000703,2.61
1400000US25025000704,7.17
1400000US49035113307,33.96
1400000US32007950200,15.4
1400000US36103123402,9.56
1400000US26147658100,8.33
1400000US49035113308,32.63
1400000US36103123401,11.27
1400000US17043846504,13.48
1400000US17043846507,1.64
1400000US48453002317,27.12
1400000US06085504421,3.62
1400000US55073001800,5.12
1400000US42101026600,12.87
1400000US15009990000,0
1400000US34031143200,6.43
1400000US48453002315,30.85
1400000US55103970300,10.44
1400000US27037060739,10.96
1400000US36059414502,6.44
1400000US36071011601,5.23
1400000US27003050820,3.58
1400000US27003050821,2.88
1400000US05031000601,13.34
1400000US05031000602,18.03
1400000US06037540700,23.67
1400000US06037119202,15.12
1400000US18089042802,5.36
1400000US18089042801,5.52
1400000US06037119201,20.26
1400000US12011090503,2.19
1400000US26161410800,9.65
1400000US37109071102,7.99
1400000US12057002800,13.43
1400000US37109071101,12.83
1400000US06081604000,3.62
1400000US36065025500,6.46
1400000US18089040401,7.77
1400000US18089040403,5.12
1400000US18089040402,3.17
1400000US48141000207,22.69
1400000US26099245300,3.37
1400000US48141000205,24.76
1400000US48141000204,19.68
1400000US22089062900,11.94
1400000US36037951000,12.35
1400000US26163585900,16.18
1400000US18089010900,21.53
1400000US48141000208,32.64
1400000US48239950100,19.43
1400000US28013950300,8.98
1400000US37079950101,22.88
1400000US19017004100,1.32
1400000US19113002600,12.5
1400000US06065048100,6.7
1400000US29133950300,12.08
1400000US26093730102,6.22
1400000US18015959600,13.2
1400000US26093730101,2.29
1400000US49043964202,13.74
1400000US49043964203,32.45
1400000US21015070308,5.64
1400000US21015070309,3.73
1400000US06081611200,1.28
1400000US21015070307,2.34
1400000US21015070305,6.67
1400000US08005007104,7.86
1400000US17137951500,7.18
1400000US21015070301,24.72
1400000US45041000300,11.05
1400000US48061011100,33.29
1400000US04013082016,16.93
1400000US04013082017,13.94
1400000US04013082010,33.82
1400000US24005440300,8.25
1400000US04013082012,17.84
1400000US01097007000,11.32
1400000US04013082018,24.63
1400000US04013082019,11.08
1400000US40101000600,21.28
1400000US08069001607,0.99
1400000US06001405901,20.24
1400000US06001405902,20.44
1400000US12105011910,13.69
1400000US08069001603,12.52
1400000US06037240402,20.46
1400000US06037240401,19.92
1400000US13301970400,12.77
1400000US37025041701,8.14
1400000US37025041702,13.2
1400000US33011002800,6.03
1400000US34031124500,9.43
1400000US42011000600,8.75
1400000US08069001608,6.1
1400000US28049002400,20.43
1400000US22063040202,11.84
1400000US22063040201,14.63
1400000US27061480400,5.39
1400000US12095014200,27.1
1400000US47155081101,26.51
1400000US47155081102,21.18
1400000US17043844902,2.14
1400000US18019050603,21.92
1400000US18019050605,8.94
1400000US18019050604,5.07
1400000US18019050606,5.97
1400000US04025000402,7.1
1400000US21025920200,9.37
1400000US04025000401,5.04
1400000US19113000600,4.8
1400000US18135951900,13.97
1400000US17033880300,5.42
1400000US36081133900,10.38
1400000US18173030100,7.8
1400000US25017352500,2.5
1400000US04013815300,5.47
1400000US48201252000,8.44
1400000US12095016511,14.76
1400000US12095016510,16.91
1400000US26049002400,13.3
1400000US34025808600,4.95
1400000US35049980000,0
1400000US08031000502,10.47
1400000US47047060300,13.06
1400000US51059432300,3.48
1400000US08077001501,12.46
1400000US37067002702,17.35
1400000US06037206300,22.83
1400000US08077001502,13.17
1400000US40037020602,19.33
1400000US37183053108,10.32
1400000US05093010200,15.22
1400000US36029008500,2.34
1400000US48201221300,48.57
1400000US22057021000,15.95
1400000US06053014105,8.11
1400000US06053014104,7.1
1400000US18097351700,14.21
1400000US06053014102,11.63
1400000US37183053106,22.6
1400000US37183053107,10.07
1400000US25005653204,1.82
1400000US34007611000,16.26
1400000US12103025018,17.67
1400000US04013217800,12.07
1400000US40031001600,27.77
1400000US40145030405,8.94
1400000US40145030402,10.57
1400000US40145030403,19.93
1400000US36047054800,8.57
1400000US37071032301,12.63
1400000US05087960200,13.48
1400000US37071032302,14.59
1400000US18003002900,20.89
1400000US26025003200,7.62
1400000US19083480200,2.63
1400000US29189221301,5.5
1400000US13089021416,27.6
1400000US06013990000,0
1400000US06007002000,10.24
1400000US13089021415,10.95
1400000US13089021412,11.44
1400000US10005051305,8.53
1400000US10005051306,6.69
1400000US13089021411,7.41
1400000US06001441800,4.76
1400000US27009021101,6.94
1400000US72145990000,0
1400000US27141030200,3.65
1400000US06065041410,33.35
1400000US06065041411,23.51
1400000US06065041412,18.47
1400000US05081030200,11.95
1400000US36061026500,10.31
1400000US17075950800,3.1
1400000US06065042214,11.09
1400000US02090001700,11.06
1400000US06065042213,6.96
1400000US06059063301,14.28
1400000US37051003305,14.21
1400000US06059063302,2.79
1400000US36059412100,4.75
1400000US24031700819,10.54
1400000US24031700818,20.08
1400000US22051024700,18.81
1400000US24031700815,10.06
1400000US12057002000,20.61
1400000US24031700817,12.34
1400000US24031700816,12.44
1400000US24031700811,10.62
1400000US24031700810,6.04
1400000US24031700813,10.48
1400000US24031700812,10.44
1400000US49005000900,11.41
1400000US28051950300,20.45
1400000US27173970100,12.87
1400000US45083022005,9.27
1400000US45083022004,10.77
1400000US42129802500,9.46
1400000US45083022006,20.29
1400000US31037964600,5.54
1400000US23011018000,12.09
1400000US36005021301,6.63
1400000US17163503903,3.35
1400000US06037228600,35.4
1400000US17163503906,2.21
1400000US28117950100,13.9
1400000US17163503904,1.77
1400000US17163503905,1.91
1400000US34007609204,7.4
1400000US34007609205,3.96
1400000US34007609202,4.38
1400000US34007609203,4.31
1400000US06001420200,6.66
1400000US34007609201,10.7
1400000US48029191503,2.87
1400000US48029191506,11.32
1400000US26049013401,1.51
1400000US26029000400,6.43
1400000US48029191505,3.6
1400000US09003494600,2.63
1400000US36069052100,3.8
1400000US13123080200,17.94
1400000US37067004015,4.67
1400000US37067004014,7.79
1400000US34013021400,5.28
1400000US37067004011,6.42
1400000US37067004010,7.29
1400000US37067004013,11.36
1400000US31131966800,7.88
1400000US06099003100,13.33
1400000US48273020400,14.42
1400000US09003496600,3.04
1400000US01097001400,17.47
1400000US09003473800,4.6
1400000US26065006302,6.31
1400000US06097153104,17.7
1400000US42003472400,4.87
1400000US06065040607,10.52
1400000US36005004600,6.63
1400000US51153901601,11.93
1400000US51153901602,22.58
1400000US17187870300,6.36
1400000US26163510700,22.52
1400000US04027001200,18.79
1400000US26135970300,16.34
1400000US04027000100,18.53
1400000US39001770200,10.08
1400000US06037191302,23.68
1400000US06037191301,26.94
1400000US42003522000,7.58
1400000US42051263000,7.18
1400000US48201511002,9.34
1400000US36047050000,3.81
1400000US12086011009,8.08
1400000US06037192300,10.04
1400000US36077590900,5.3
1400000US25023524101,1.03
1400000US48201250401,5.09
1400000US28019950100,17.56
1400000US36119005902,6.87
1400000US36059517000,5.41
1400000US22077951900,24.65
1400000US45089970900,10.35
1400000US12081000704,31.12
1400000US06095250502,11.09
1400000US06095250501,13.44
1400000US12086011005,26.56
1400000US12081000703,26.91
1400000US36047045000,3.31
1400000US39035108301,12.8
1400000US42069110202,3.76
1400000US22071000300,23.19
1400000US51103030300,8.47
1400000US47001020800,11.92
1400000US17031670100,27.35
1400000US17091012400,16.27
1400000US55025012001,3.06
1400000US36001013706,1.41
1400000US36001013707,2.08
1400000US39061021702,10.78
1400000US36001013705,4.12
1400000US36001013703,2.42
1400000US47167040200,15.23
1400000US53033031601,3.87
1400000US53053073114,13.59
1400000US53033031603,9.13
1400000US17031800200,2.35
1400000US53033031605,4.09
1400000US06037237202,21.54
1400000US06037237201,27.8
1400000US12057013100,22.02
1400000US53053073119,2.99
1400000US53053073118,4.87
1400000US08013060900,7.27
1400000US04013522903,23.61
1400000US08059012049,5.61
1400000US04013522901,11.31
1400000US42133020310,3.44
1400000US04013522904,20.63
1400000US50021964200,6.86
1400000US08059012041,2.23
1400000US08059012042,3.24
1400000US08059012043,8.33
1400000US08059012044,6.15
1400000US08059012045,4.41
1400000US08059012046,6.28
1400000US08059012047,11.54
1400000US13063040202,24.32
1400000US17031660800,23.27
1400000US17115001600,10.21
1400000US42077005301,4.43
1400000US12103028700,13.71
1400000US13063040204,29.4
1400000US42049000900,15.3
1400000US55101000903,5.2
1400000US55101000901,7.57
1400000US08105976800,20.2
1400000US55101000904,8.57
1400000US42045401200,2.46
1400000US35001003724,6.65
1400000US01101002900,15.95
1400000US35001003726,3.66
1400000US39093024000,5.47
1400000US08035013911,4.25
1400000US35001003722,7.4
1400000US35001003723,9.09
1400000US06083001101,22.63
1400000US08035013910,2.49
1400000US35001003728,4.93
1400000US06037543802,9.73
1400000US06037543801,18.53
1400000US27053026706,3.77
1400000US22087030800,18.85
1400000US32029970200,12.4
1400000US06041121100,5.46
1400000US13305970600,13.83
1400000US46011958803,6.06
1400000US46011958802,5.06
1400000US06037920016,2.1
1400000US06019005406,8.28
1400000US06019005407,6.87
1400000US51800075405,8.93
1400000US06019005405,7.81
1400000US51800075403,3.59
1400000US06019005403,16.42
1400000US51800075401,5.13
1400000US05143010501,10.87
1400000US06019005408,10.67
1400000US06019005409,12.74
1400000US29095015400,28.13
1400000US42003428100,5.07
1400000US17031840800,29.59
1400000US08101001000,17.47
1400000US42101012100,9.7
1400000US09001042800,17.99
1400000US41027950300,16.12
1400000US51730811000,13.57
1400000US20209041900,27.47
1400000US27137013100,9.84
1400000US53063011102,14.03
1400000US53063011101,9.7
1400000US17179021604,3.17
1400000US26027001900,9.58
1400000US21185030200,7.11
1400000US39031961400,5.11
1400000US55079004300,7.61
