Gid,SE_T050_003
1400000US36047990100,0
1400000US53011041005,9.05
1400000US53011041007,13.76
1400000US22071005400,39.96
1400000US17031530200,9.85
1400000US06037402200,24.62
1400000US53011041008,26.42
1400000US53011041009,20.11
1400000US16027020300,12.99
1400000US26163501200,1.94
1400000US45019004606,31.81
1400000US45019004607,34.42
1400000US32005002200,24.23
1400000US72135510200,16.07
1400000US37009970700,19.62
1400000US48113001001,32.91
1400000US28035000800,46.01
1400000US45019004608,25.58
1400000US39145002800,18.05
1400000US18167010500,14.92
1400000US12086013800,3.4
1400000US08031000800,0.44
1400000US53011041003,25.58
1400000US26091061600,9.45
1400000US06071000904,13.36
1400000US06071000903,18.33
1400000US31033955000,22.11
1400000US06071000901,16.48
1400000US15003011400,20.88
1400000US42095010800,36.66
1400000US24009860401,19.03
1400000US24009860402,18.98
1400000US31119961000,10.25
1400000US24031702500,39.06
1400000US13261950100,11.8
1400000US42069110201,21.02
1400000US36047021400,13.49
1400000US36081103201,5.62
1400000US06085503118,23.63
1400000US36081103202,23.32
1400000US06085503116,35.91
1400000US06085503117,6.31
1400000US06085503115,23.97
1400000US06085503112,21.68
1400000US06085503113,12.89
1400000US06085503110,4.01
1400000US06085503111,15.72
1400000US06023010400,27.81
1400000US39027964900,11.12
1400000US09003460301,31.62
1400000US09003460302,33.98
1400000US40013796600,19.05
1400000US26099255500,8.6
1400000US55097960500,25.75
1400000US45027960500,22.68
1400000US41003000900,54.26
1400000US24043010600,13.83
1400000US36043010400,16.71
1400000US04013420710,14.04
1400000US17043846509,22.65
1400000US25025000701,46.92
1400000US25025000703,33.7
1400000US25025000704,42.46
1400000US49035113307,2.64
1400000US32007950200,6.21
1400000US36103123402,14.46
1400000US26147658100,12.77
1400000US49035113308,8.0
1400000US36103123401,18.23
1400000US17043846504,20.36
1400000US17043846507,24.25
1400000US48453002317,27.26
1400000US06085504421,30.54
1400000US55073001800,17.28
1400000US42101026600,11.93
1400000US15009990000,0
1400000US34031143200,25.53
1400000US48453002315,21.56
1400000US55103970300,11.44
1400000US27037060739,15.4
1400000US36059414502,30.56
1400000US36071011601,15.18
1400000US27003050820,29.18
1400000US27003050821,32.67
1400000US05031000601,23.24
1400000US05031000602,15.82
1400000US06037540700,6.61
1400000US06037119202,24.79
1400000US18089042802,24.02
1400000US18089042801,19.62
1400000US06037119201,17.6
1400000US12011090503,30.99
1400000US26161410800,21.14
1400000US37109071102,16.16
1400000US12057002800,21.98
1400000US37109071101,20.79
1400000US06081604000,24.2
1400000US36065025500,25.8
1400000US18089040401,27.73
1400000US18089040403,23.45
1400000US18089040402,35.43
1400000US48141000207,17.45
1400000US26099245300,26.88
1400000US48141000205,10.06
1400000US48141000204,14.26
1400000US22089062900,19.6
1400000US36037951000,15.16
1400000US26163585900,9.2
1400000US18089010900,21.01
1400000US48141000208,7.23
1400000US48239950100,15.83
1400000US28013950300,17.99
1400000US37079950101,10.59
1400000US19017004100,22.99
1400000US19113002600,21.03
1400000US06065048100,29.07
1400000US29133950300,17.52
1400000US26093730102,21.09
1400000US18015959600,11.84
1400000US26093730101,19.12
1400000US49043964202,15.84
1400000US49043964203,24.53
1400000US21015070308,22.53
1400000US21015070309,26.98
1400000US06081611200,37.27
1400000US21015070307,29.1
1400000US21015070305,18.54
1400000US08005007104,22.81
1400000US17137951500,15.4
1400000US21015070301,11.52
1400000US45041000300,15.18
1400000US48061011100,14.83
1400000US04013082016,18.64
1400000US04013082017,14.35
1400000US04013082010,10.44
1400000US24005440300,29.08
1400000US04013082012,12.4
1400000US01097007000,17.01
1400000US04013082018,10.32
1400000US04013082019,19.03
1400000US40101000600,15.99
1400000US08069001607,35.51
1400000US06001405901,3.25
1400000US06001405902,8.09
1400000US12105011910,13.15
1400000US08069001603,24.38
1400000US06037240402,14.71
1400000US06037240401,8.94
1400000US13301970400,14.11
1400000US37025041701,22.92
1400000US37025041702,21.76
1400000US33011002800,21.5
1400000US34031124500,26.19
1400000US42011000600,14.86
1400000US08069001608,38.36
1400000US28049002400,11.51
1400000US22063040202,13.62
1400000US22063040201,14.62
1400000US27061480400,23.29
1400000US12095014200,10.54
1400000US47155081101,9.07
1400000US47155081102,10.1
1400000US17043844902,32.92
1400000US18019050603,16.04
1400000US18019050605,21.46
1400000US18019050604,9.25
1400000US18019050606,20.06
1400000US04025000402,47.42
1400000US21025920200,28.55
1400000US04025000401,20.98
1400000US19113000600,23.04
1400000US18135951900,16.9
1400000US17033880300,23.18
1400000US36081133900,32.76
1400000US18173030100,12.08
1400000US25017352500,48.05
1400000US04013815300,40.39
1400000US48201252000,29.74
1400000US12095016511,22.43
1400000US12095016510,33.01
1400000US26049002400,6.39
1400000US34025808600,22.87
1400000US35049980000,0
1400000US08031000502,32.03
1400000US47047060300,10.41
1400000US51059432300,29.48
1400000US08077001501,22.49
1400000US37067002702,15.71
1400000US06037206300,22.74
1400000US08077001502,16.21
1400000US40037020602,15.22
1400000US37183053108,26.19
1400000US05093010200,14.19
1400000US36029008500,20.54
1400000US48201221300,6.55
1400000US22057021000,13.45
1400000US06053014105,41.29
1400000US06053014104,19.17
1400000US18097351700,22.13
1400000US06053014102,19.1
1400000US37183053106,19.37
1400000US37183053107,26.3
1400000US25005653204,27.24
1400000US34007611000,14.63
1400000US12103025018,14.79
1400000US04013217800,21.87
1400000US40031001600,5.07
1400000US40145030405,20.62
1400000US40145030402,14.59
1400000US40145030403,13.72
1400000US36047054800,29.46
1400000US37071032301,22.86
1400000US05087960200,14.22
1400000US37071032302,17.37
1400000US18003002900,10.6
1400000US26025003200,15.35
1400000US19083480200,18.3
1400000US29189221301,23.81
1400000US13089021416,19.63
1400000US06013990000,0
1400000US06007002000,18.2
1400000US13089021415,34.1
1400000US13089021412,26.16
1400000US10005051305,14.33
1400000US10005051306,20.25
1400000US13089021411,35.55
1400000US06001441800,41.87
1400000US27009021101,20.95
1400000US72145990000,0
1400000US27141030200,18.93
1400000US06065041410,2.7
1400000US06065041411,7.23
1400000US06065041412,14.03
1400000US05081030200,14.15
1400000US36061026500,28.62
1400000US17075950800,17.54
1400000US06065042214,31.13
1400000US02090001700,13.15
1400000US06065042213,48.31
1400000US06059063301,22.45
1400000US37051003305,11.93
1400000US06059063302,23.11
1400000US36059412100,25.52
1400000US24031700819,17.89
1400000US24031700818,21.34
1400000US22051024700,19.6
1400000US24031700815,22.28
1400000US12057002000,13.77
1400000US24031700817,44.79
1400000US24031700816,37.1
1400000US24031700811,17.52
1400000US24031700810,32.15
1400000US24031700813,29.75
1400000US24031700812,27.94
1400000US49005000900,25.09
1400000US28051950300,15.83
1400000US27173970100,18.67
1400000US45083022005,29.38
1400000US45083022004,18.01
1400000US42129802500,16.34
1400000US45083022006,16.69
1400000US31037964600,19.64
1400000US23011018000,19.68
1400000US36005021301,13.47
1400000US17163503903,21.97
1400000US06037228600,4.0
1400000US17163503906,27.61
1400000US28117950100,15.31
1400000US17163503904,26.47
1400000US17163503905,25.97
1400000US34007609204,26.64
1400000US34007609205,19.64
1400000US34007609202,19.08
1400000US34007609203,31.35
1400000US06001420200,46.54
