Gid,SE_T056_002
1400000US36047990100,0
1400000US53011041005,12.3
1400000US53011041007,6.68
1400000US22071005400,16.46
1400000US17031530200,13.22
1400000US06037402200,3.74
1400000US53011041008,1.01
1400000US53011041009,3.51
1400000US16027020300,10.34
1400000US26163501200,18.95
1400000US45019004606,6.35
1400000US45019004607,7.39
1400000US32005002200,4.44
1400000US72135510200,13.75
1400000US37009970700,4.19
1400000US48113001001,1.88
1400000US28035000800,11.99
1400000US45019004608,3.43
1400000US39145002800,6.68
1400000US18167010500,13.67
1400000US12086013800,8.07
1400000US08031000800,45.02
1400000US53011041003,4.01
1400000US26091061600,14.16
1400000US06071000904,12.06
1400000US06071000903,15.45
1400000US31033955000,4.83
1400000US06071000901,10.86
1400000US15003011400,7.82
1400000US42095010800,13.34
1400000US24009860401,4.39
1400000US24009860402,4.05
1400000US31119961000,9.91
1400000US24031702500,9.15
1400000US13261950100,4.64
1400000US42069110201,3.28
1400000US36047021400,6.7
1400000US36081103201,15.7
1400000US06085503118,4.25
1400000US36081103202,6.11
1400000US06085503116,3.87
1400000US06085503117,7.55
1400000US06085503115,1.67
1400000US06085503112,6.77
1400000US06085503113,3.58
1400000US06085503110,5.21
1400000US06085503111,4.17
1400000US06023010400,3.98
1400000US39027964900,7.35
1400000US09003460301,3.46
1400000US09003460302,5.5
1400000US40013796600,5.87
1400000US26099255500,11.29
1400000US55097960500,4.64
1400000US45027960500,17.79
1400000US41003000900,11.53
1400000US24043010600,5.35
1400000US36043010400,9.79
1400000US04013420710,5.79
1400000US17043846509,5.52
1400000US25025000701,15.28
1400000US25025000703,25.74
1400000US25025000704,14.29
1400000US49035113307,4.27
1400000US32007950200,1.88
1400000US36103123402,4.51
1400000US26147658100,5.09
1400000US49035113308,1.91
1400000US36103123401,1.47
1400000US17043846504,4.92
1400000US17043846507,5.14
1400000US48453002317,23.67
1400000US06085504421,3.18
1400000US55073001800,1.39
1400000US42101026600,8.6
1400000US15009990000,0
1400000US34031143200,1.07
1400000US48453002315,9.12
1400000US55103970300,7.96
1400000US27037060739,2.4
1400000US36059414502,2.45
1400000US36071011601,4.03
1400000US27003050820,2.19
1400000US27003050821,0.59
1400000US05031000601,13.64
1400000US05031000602,33.94
1400000US06037540700,10.12
1400000US06037119202,3.63
1400000US18089042802,1.51
1400000US18089042801,1.34
1400000US06037119201,3.57
1400000US12011090503,2.91
1400000US26161410800,16.23
1400000US37109071102,2.86
1400000US12057002800,9.69
1400000US37109071101,10.33
1400000US06081604000,1.71
1400000US36065025500,3.15
1400000US18089040401,3.28
1400000US18089040403,2.09
1400000US18089040402,3.27
1400000US48141000207,10.43
1400000US26099245300,5.14
1400000US48141000205,14.49
1400000US48141000204,4.97
1400000US22089062900,0
1400000US36037951000,14.11
1400000US26163585900,10.84
1400000US18089010900,27.4
1400000US48141000208,10.39
1400000US48239950100,5.52
1400000US28013950300,12.05
1400000US37079950101,8.83
1400000US19017004100,1.32
1400000US19113002600,13.34
1400000US06065048100,3.18
1400000US29133950300,4.38
1400000US26093730102,1.87
1400000US18015959600,5.22
1400000US26093730101,0.52
1400000US49043964202,1.21
1400000US49043964203,0
1400000US21015070308,1.21
1400000US21015070309,1.26
1400000US06081611200,1.51
1400000US21015070307,3.93
1400000US21015070305,3.36
1400000US08005007104,1.56
1400000US17137951500,3.11
1400000US21015070301,7.76
1400000US45041000300,9.76
1400000US48061011100,20.19
1400000US04013082016,5.45
1400000US04013082017,3.26
1400000US04013082010,4.96
1400000US24005440300,6.9
1400000US04013082012,0.86
1400000US01097007000,2.44
1400000US04013082018,4.29
1400000US04013082019,1.56
1400000US40101000600,12.13
1400000US08069001607,1.15
1400000US06001405901,11.64
1400000US06001405902,13.65
1400000US12105011910,6.19
1400000US08069001603,5.23
1400000US06037240402,11.03
1400000US06037240401,12.44
1400000US13301970400,22.52
1400000US37025041701,7.5
1400000US37025041702,4.29
1400000US33011002800,7.44
1400000US34031124500,6.38
1400000US42011000600,1.57
1400000US08069001608,0.46
1400000US28049002400,11.41
1400000US22063040202,8.77
1400000US22063040201,6.18
1400000US27061480400,2.82
1400000US12095014200,7.4
1400000US47155081101,13.1
1400000US47155081102,9.31
1400000US17043844902,7.05
1400000US18019050603,8.31
1400000US18019050605,2.53
1400000US18019050604,1.37
1400000US18019050606,1.47
1400000US04025000402,2.32
1400000US21025920200,19.97
1400000US04025000401,6.95
1400000US19113000600,0.54
1400000US18135951900,4.42
1400000US17033880300,2.24
1400000US36081133900,3.0
1400000US18173030100,3.93
1400000US25017352500,6.61
1400000US04013815300,0.64
1400000US48201252000,0.24
1400000US12095016511,16.8
1400000US12095016510,23.61
1400000US26049002400,13.41
1400000US34025808600,7.39
1400000US35049980000,0
1400000US08031000502,12.41
1400000US47047060300,14.9
1400000US51059432300,1.25
1400000US08077001501,5.01
1400000US37067002702,19.26
1400000US06037206300,44.67
1400000US08077001502,3.5
1400000US40037020602,6.35
1400000US37183053108,2.11
1400000US05093010200,15.29
1400000US36029008500,6.4
1400000US48201221300,4.26
1400000US22057021000,4.07
1400000US06053014105,13.14
1400000US06053014104,0
1400000US18097351700,12.87
1400000US06053014102,10.74
1400000US37183053106,7.66
1400000US37183053107,0.86
1400000US25005653204,1.89
1400000US34007611000,3.11
1400000US12103025018,17.91
1400000US04013217800,7.11
1400000US40031001600,22.4
1400000US40145030405,1.76
1400000US40145030402,5.67
1400000US40145030403,5.02
1400000US36047054800,6.02
1400000US37071032301,7.87
1400000US05087960200,8.64
1400000US37071032302,12.74
1400000US18003002900,17.58
1400000US26025003200,8.82
1400000US19083480200,6.79
1400000US29189221301,2.86
1400000US13089021416,1.59
1400000US06013990000,0
1400000US06007002000,5.46
1400000US13089021415,4.98
1400000US13089021412,0.49
1400000US10005051305,3.5
1400000US10005051306,5.84
1400000US13089021411,6.51
1400000US06001441800,3.28
1400000US27009021101,5.72
1400000US72145990000,0
1400000US27141030200,2.24
1400000US06065041410,8.47
1400000US06065041411,3.44
1400000US06065041412,8.24
1400000US05081030200,8.8
1400000US36061026500,8.47
1400000US17075950800,6.44
1400000US06065042214,4.92
1400000US02090001700,4.78
1400000US06065042213,10.58
1400000US06059063301,4.3
1400000US37051003305,7.21
1400000US06059063302,4.78
1400000US36059412100,2.47
1400000US24031700819,3.89
1400000US24031700818,7.25
1400000US22051024700,7.19
1400000US24031700815,5.99
1400000US12057002000,16.9
1400000US24031700817,4.78
1400000US24031700816,1.0
1400000US24031700811,0
1400000US24031700810,2.57
1400000US24031700813,7.0
1400000US24031700812,4.84
1400000US49005000900,7.17
1400000US28051950300,35.57
1400000US27173970100,4.15
1400000US45083022005,3.65
1400000US45083022004,8.62
1400000US42129802500,7.23
1400000US45083022006,5.57
1400000US31037964600,3.92
1400000US23011018000,3.62
1400000US36005021301,17.03
1400000US17163503903,1.97
1400000US06037228600,11.85
1400000US17163503906,0.6
1400000US28117950100,7.62
1400000US17163503904,5.07
1400000US17163503905,4.31
1400000US34007609204,2.36
1400000US34007609205,6.14
1400000US34007609202,7.89
1400000US34007609203,1.08
1400000US06001420200,7.9
1400000US34007609201,10.8
1400000US48029191503,4.52
1400000US48029191506,5.45
1400000US26049013401,4.37
1400000US26029000400,3.52
1400000US48029191505,1.35
1400000US09003494600,4.37
1400000US36069052100,4.49
1400000US13123080200,5.37
1400000US37067004015,3.51
1400000US37067004014,6.89
1400000US34013021400,2.1
1400000US37067004011,4.19
1400000US37067004010,0.69
1400000US37067004013,3.51
1400000US31131966800,3.17
1400000US06099003100,4.88
1400000US48273020400,11.14
1400000US09003496600,2.21
1400000US01097001400,21.2
1400000US09003473800,7.3
1400000US26065006302,3.67
1400000US06097153104,6.38
1400000US42003472400,3.14
1400000US06065040607,1.82
1400000US36005004600,11.03
1400000US51153901601,3.66
1400000US51153901602,2.86
1400000US17187870300,2.39
1400000US26163510700,16.81
1400000US04027001200,3.61
1400000US26135970300,13.62
1400000US04027000100,12.27
1400000US39001770200,11.68
1400000US06037191302,6.48
1400000US06037191301,1.98
1400000US42003522000,12.8
1400000US42051263000,15.6
1400000US48201511002,2.92
1400000US36047050000,7.43
1400000US12086011009,4.55
1400000US06037192300,3.38
1400000US36077590900,7.08
1400000US25023524101,0
1400000US48201250401,6.06
1400000US28019950100,7.78
1400000US36119005902,3.22
1400000US36059517000,1.26
1400000US22077951900,16.74
1400000US45089970900,8.27
1400000US12081000704,8.68
1400000US06095250502,4.7
1400000US06095250501,2.96
1400000US12086011005,3.76
1400000US12081000703,7.56
1400000US36047045000,17.02
1400000US39035108301,19.4
1400000US42069110202,2.43
1400000US22071000300,13.71
1400000US51103030300,4.3
1400000US47001020800,13.52
1400000US17031670100,19.83
1400000US17091012400,9.28
1400000US55025012001,0.93
1400000US36001013706,2.11
1400000US36001013707,2.78
1400000US39061021702,10.78
1400000US36001013705,4.0
1400000US36001013703,0.69
1400000US47167040200,10.76
1400000US53033031601,2.6
1400000US53053073114,5.07
1400000US53033031603,1.47
1400000US17031800200,5.65
1400000US53033031605,5.71
1400000US06037237202,18.09
1400000US06037237201,15.32
1400000US12057013100,5.71
1400000US53053073119,1.5
1400000US53053073118,1.78
1400000US08013060900,3.6
1400000US04013522903,10.64
1400000US08059012049,0.74
1400000US04013522901,6.5
1400000US42133020310,0.49
1400000US04013522904,6.88
1400000US50021964200,2.46
1400000US08059012041,3.64
1400000US08059012042,0
1400000US08059012043,0.99
1400000US08059012044,0.54
1400000US08059012045,1.64
1400000US08059012046,8.08
1400000US08059012047,3.68
1400000US13063040202,17.31
1400000US17031660800,12.78
1400000US17115001600,6.37
1400000US42077005301,0.46
1400000US12103028700,20.93
1400000US13063040204,10.37
1400000US42049000900,17.79
1400000US55101000903,3.8
1400000US55101000901,1.66
1400000US08105976800,7.51
1400000US55101000904,1.9
1400000US42045401200,6.5
1400000US35001003724,2.3
1400000US01101002900,14.99
1400000US35001003726,4.91
1400000US39093024000,12.38
1400000US08035013911,1.16
1400000US35001003722,1.58
1400000US35001003723,5.93
1400000US06083001101,4.2
1400000US08035013910,2.3
