Gid,SE_T050_013
1400000US36047990100,0
1400000US53011041005,9.44
1400000US53011041007,6.82
1400000US22071005400,0
1400000US17031530200,4.71
1400000US06037402200,5.73
1400000US53011041008,4.59
1400000US53011041009,6.95
1400000US16027020300,6.7
1400000US26163501200,17.72
1400000US45019004606,2.05
1400000US45019004607,0.5
1400000US32005002200,2.73
1400000US72135510200,4.83
1400000US37009970700,6.34
1400000US48113001001,0.72
1400000US28035000800,3.53
1400000US45019004608,1.52
1400000US39145002800,5.63
1400000US18167010500,18.25
1400000US12086013800,8.21
1400000US08031000800,17.9
1400000US53011041003,5.13
1400000US26091061600,10.12
1400000US06071000904,7.41
1400000US06071000903,7.31
1400000US31033955000,1.26
1400000US06071000901,5.48
1400000US15003011400,1.75
1400000US42095010800,3.42
1400000US24009860401,3.19
1400000US24009860402,3.46
1400000US31119961000,15.46
1400000US24031702500,0.3
1400000US13261950100,5.4
1400000US42069110201,7.36
1400000US36047021400,1.56
1400000US36081103201,4.77
1400000US06085503118,7.76
1400000US36081103202,2.76
1400000US06085503116,10.89
1400000US06085503117,6.39
1400000US06085503115,2.11
1400000US06085503112,6.07
1400000US06085503113,6.42
1400000US06085503110,14.27
1400000US06085503111,12.33
1400000US06023010400,6.82
1400000US39027964900,17.92
1400000US09003460301,3.08
1400000US09003460302,2.58
1400000US40013796600,8.29
1400000US26099255500,19.26
1400000US55097960500,6.89
1400000US45027960500,13.42
1400000US41003000900,0
1400000US24043010600,7.78
1400000US36043010400,7.6
1400000US04013420710,7.93
1400000US17043846509,5.72
1400000US25025000701,3.49
1400000US25025000703,1.52
1400000US25025000704,1.27
1400000US49035113307,17.36
1400000US32007950200,2.18
1400000US36103123402,3.74
1400000US26147658100,21.91
1400000US49035113308,12.83
1400000US36103123401,9.48
1400000US17043846504,1.81
1400000US17043846507,1.26
1400000US48453002317,2.48
1400000US06085504421,11.51
1400000US55073001800,10.41
1400000US42101026600,12.42
1400000US15009990000,0
1400000US34031143200,0.5
1400000US48453002315,2.43
1400000US55103970300,13.88
1400000US27037060739,5.69
1400000US36059414502,4.5
1400000US36071011601,9.02
1400000US27003050820,6.18
1400000US27003050821,3.38
1400000US05031000601,22.59
1400000US05031000602,8.15
1400000US06037540700,15.45
1400000US06037119202,7.92
1400000US18089042802,10.45
1400000US18089042801,9.25
1400000US06037119201,12.71
1400000US12011090503,3.22
1400000US26161410800,4.7
1400000US37109071102,6.39
1400000US12057002800,5.6
1400000US37109071101,4.17
1400000US06081604000,3.34
1400000US36065025500,2.71
1400000US18089040401,5.22
1400000US18089040403,5.04
1400000US18089040402,2.31
1400000US48141000207,9.54
1400000US26099245300,10.4
1400000US48141000205,4.48
1400000US48141000204,8.62
